"","V1","V2","V3","V4","V5","V6","V7"
"1",1,1,374,289,208,2006,1384
"2",1,1,367,0,0,2008,3093
"3",2,2,319,0,0,2005,2248
"4",1,1,356,0,333,2007,0
"5",1,1,0,0,0,0,2753
"6",1,1,348,0,0,2005,1607
"7",2,2,327,0,0,2005,1379
"8",1,1,369,0,0,2005,1996
"9",1,2,342,0,0,2006,0
"10",1,1,371,0,0,2007,1429
"11",1,0,0,0,0,0,0
"12",2,2,365,0,0,2005,1632
"13",1,1,350,0,0,2007,2599
"14",2,2,306,0,171,2003,1943
"15",1,1,0,0,0,0,50098
"16",1,0,0,0,0,0,0
"17",1,2,298,308,128,2008,2573
"18",1,2,327,298,0,2005,1764
"19",1,2,366,0,282,2007,1562
"20",1,1,341,309,0,2006,2790
"21",1,0,314,378,0,0,50732
"22",1,1,355,387,258,2009,60738
"23",1,2,355,390,0,2009,2191
"24",1,2,0,0,258,2009,2788
"25",1,2,0,0,264,2009,2846
"26",1,1,367,329,274,2009,0
"27",1,1,316,0,0,2007,1764
"28",1,2,317,0,0,2007,1330
"29",1,1,0,0,0,2009,52979
"30",1,1,375,310,0,2007,1838
"31",2,2,314,355,0,2003,23965
"32",1,1,368,332,324,2009,51263
"33",1,1,382,390,0,0,2048
"34",1,2,327,0,266,2009,50500
"35",2,2,0,0,0,2005,2779
"36",1,1,292,332,0,2006,2113
"37",1,2,327,367,0,2009,1654
"38",1,2,355,0,136,2008,52401
"39",1,1,382,390,259,2009,1942
"40",1,1,375,386,0,2007,1503
"41",1,1,314,366,274,2008,1912
"42",1,2,365,0,0,0,0
"43",1,1,355,382,0,2007,1476
"44",1,2,384,393,0,2009,0
"45",1,0,312,0,323,0,16805
"46",1,2,351,365,257,2009,10937
"47",1,1,374,0,0,2006,1310
"48",1,2,355,0,362,2006,0
"49",2,1,367,350,0,2005,1594
"50",2,1,367,0,0,2005,3057
"51",2,2,340,369,262,1976,3003
"52",1,2,298,303,128,2008,50115
"53",1,1,367,379,339,2007,3120
"54",2,1,311,347,259,2005,1486
"55",1,2,360,0,0,2007,2326
"56",1,1,291,0,0,2009,2335
"57",1,2,304,367,182,2006,51231
"58",1,2,327,0,179,2006,2813
"59",1,1,361,0,0,2008,2754
"60",1,2,333,0,0,2007,0
"61",1,1,0,0,269,2009,52088
"62",2,2,316,0,0,2005,2749
"63",1,0,0,0,0,0,0
"64",1,2,390,355,272,2009,2900
"65",1,2,315,0,273,2009,1667
"66",1,0,0,0,0,0,0
"67",1,2,319,0,256,2008,1734
"68",1,1,374,293,0,2008,2954
"69",2,2,314,298,0,2004,0
"70",1,2,368,0,257,2009,2561
"71",1,0,0,0,320,2008,2460
"72",1,1,368,0,0,2008,56639
"73",1,2,329,0,0,2006,1805
"74",1,2,348,368,0,2008,2702
"75",2,1,319,365,0,2004,0
"76",1,1,355,0,0,2006,9830
"77",1,1,355,0,0,2005,0
"78",2,2,314,352,0,2004,0
"79",1,2,355,0,0,2007,2381
"80",1,2,298,366,0,2008,3004
"81",1,2,317,0,273,2009,50215
"82",1,1,0,0,266,2009,2327
"83",1,2,367,0,281,2008,54222
"84",1,2,355,387,272,2009,2564
"85",1,1,0,0,0,2008,20577
"86",1,1,329,0,0,2008,1923
"87",1,2,319,0,323,2007,3081
"88",1,1,355,298,0,2009,2764
"89",1,1,352,335,270,2009,1311
"90",1,0,298,296,0,2006,2868
"91",1,0,0,0,0,0,0
"92",1,1,368,314,0,2008,1617
"93",1,1,350,0,267,2007,2747
"94",2,0,0,0,0,0,0
"95",1,1,368,369,0,2006,0
"96",2,2,344,329,215,2004,50165
"97",1,1,290,0,0,2007,1421
"98",1,1,305,304,143,2007,1652
"99",1,1,382,342,0,0,2326
"100",2,2,352,0,324,2005,3080
"101",1,2,317,0,0,0,2664
"102",1,1,0,0,0,2008,0
"103",1,2,292,0,348,0,2193
"104",1,1,0,0,0,2008,50112
"105",1,0,291,369,0,2008,2505
"106",1,2,329,0,0,2007,1763
"107",1,2,332,377,0,2007,2709
"108",1,1,300,0,141,0,9745
"109",2,2,317,0,0,2005,50342
"110",2,1,357,0,0,2004,1595
"111",1,1,368,0,257,2009,0
"112",1,1,375,289,0,2006,2041
"113",2,1,300,0,0,2000,1596
"114",2,1,314,0,0,2005,50390
"115",1,1,355,314,0,0,0
"116",1,1,390,368,265,2009,2881
"117",1,1,387,0,265,2009,2849
"118",1,2,0,0,140,2008,2472
"119",1,1,341,298,266,2009,2426
"120",1,1,341,0,265,2007,1914
"121",2,2,0,0,0,2004,1738
"122",1,1,382,390,0,2005,2769
"123",1,1,292,377,0,2007,1326
"124",5,2,300,316,0,2010,3172
"125",1,1,329,335,0,2008,2622
"126",2,0,319,0,0,2005,50165
"127",1,1,0,0,0,2009,2748
"128",2,1,355,329,0,0,24645
"129",1,2,355,298,272,2009,2788
"130",1,2,319,298,257,2009,0
"131",2,1,292,0,0,2005,0
"132",1,2,297,313,262,2009,3133
"133",1,1,368,0,0,2007,0
"134",1,2,0,0,259,2009,2805
"135",0,0,0,0,0,0,0
"136",1,1,291,0,0,2006,2426
"137",1,2,319,0,256,2008,50055
"138",1,1,317,365,0,2008,2714
"139",5,1,393,0,0,2008,2597
"140",1,1,362,354,0,2007,1744
"141",1,1,298,329,0,2008,2914
"142",1,0,348,0,0,2006,3004
"143",1,2,365,0,186,2006,0
"144",1,1,367,0,0,2009,2960
"145",2,1,375,0,0,0,2460
"146",1,1,329,0,0,2007,1421
"147",1,2,308,0,0,2006,50353
"148",1,2,317,0,259,2009,0
"149",1,1,355,0,266,2009,1963
"150",1,2,341,0,0,2008,1887
"151",1,1,298,294,274,2009,1320
"152",1,1,0,0,263,2009,10492
"153",1,1,0,0,0,2008,0
"154",1,1,387,0,0,2005,0
"155",1,0,306,308,0,2006,1885
"156",1,1,387,0,0,2006,1361
"157",1,2,314,0,0,0,2960
"158",1,1,368,0,0,2006,2702
"159",1,1,382,0,269,2009,2809
"160",1,2,317,0,256,2009,50063
"161",1,1,0,0,314,2008,2670
"162",2,2,319,326,0,2004,0
"163",1,1,350,367,0,2006,16335
"164",1,1,292,0,0,2007,2088
"165",2,2,366,0,0,2005,1298
"166",1,1,368,298,0,2009,2326
"167",1,2,298,314,260,2009,25111
"168",1,1,387,0,256,2009,2802
"169",1,1,311,0,0,2006,2702
"170",1,2,314,357,239,2006,50058
"171",1,2,355,390,352,2009,2764
"172",1,1,355,367,0,2006,1654
"173",1,2,340,344,267,2008,1274
"174",1,1,298,314,140,2008,2039
"175",1,1,350,0,0,2005,23844
"176",1,1,297,0,314,2008,50864
"177",1,1,0,0,0,0,1466
"178",2,1,355,0,0,2004,2665
"179",1,2,355,0,267,2008,1738
"180",1,2,298,314,0,2007,2790
"181",2,0,0,0,0,0,0
"182",1,1,351,0,0,2009,20747
"183",2,2,306,363,266,2002,25279
"184",1,2,367,0,0,2006,2654
"185",1,2,329,371,0,2006,1889
"186",1,2,319,376,0,2006,1949
"187",1,2,298,314,0,2009,2779
"188",1,1,298,348,0,2008,2122
"189",1,2,319,0,0,2007,0
"190",1,1,290,0,138,2005,2965
"191",1,1,355,377,143,2006,0
"192",1,1,367,359,0,2007,25973
"193",5,2,385,0,0,0,50336
"194",1,2,331,0,128,2008,3026
